<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
200103,000000,940.6000000,947.4000000,938.4000000,945.8000000,571782
200106,000000,945.0000000,945.6000000,923.2000000,929.0000000,737166
200108,000000,925.0000000,931.6000000,918.0000000,927.2000000,674513
200109,000000,927.0000000,937.0000000,927.0000000,928.2000000,1025618
200110,000000,932.0000000,937.4000000,928.4000000,937.4000000,461332
200113,000000,942.0000000,960.2000000,936.0000000,960.2000000,1324147
200114,000000,960.2000000,976.2000000,959.2000000,967.8000000,1739800
200115,000000,967.0000000,967.6000000,950.0000000,960.2000000,1423308
200116,000000,962.0000000,971.0000000,960.2000000,963.4000000,770934
200117,000000,964.8000000,978.0000000,961.0000000,977.2000000,1177289
200120,000000,979.0000000,1000.0000000,960.0000000,990.6000000,1248372
200121,000000,990.0000000,990.0000000,971.4000000,978.6000000,1110776
200122,000000,978.6000000,986.2000000,956.4000000,959.2000000,1197304
200123,000000,954.0000000,968.4000000,946.0000000,962.0000000,986630
200124,000000,964.4000000,973.0000000,955.8000000,956.2000000,534118
200127,000000,948.2000000,953.0000000,925.4000000,930.0000000,1292674
200128,000000,933.8000000,942.6000000,923.6000000,938.6000000,728600
200129,000000,945.0000000,947.6000000,933.6000000,941.2000000,628124
200130,000000,935.8000000,942.4000000,928.4000000,931.0000000,724703
200131,000000,940.0000000,941.2000000,911.4000000,911.4000000,1809154
200203,000000,909.6000000,918.2000000,904.2000000,904.2000000,1984283
200204,000000,908.2000000,924.8000000,908.0000000,912.4000000,1381123
200205,000000,916.0000000,934.6000000,912.0000000,923.4000000,1165669
200206,000000,927.2000000,934.6000000,918.2000000,925.0000000,1017521
200207,000000,927.0000000,935.4000000,920.0000000,935.4000000,904976
200210,000000,934.4000000,937.0000000,919.2000000,922.0000000,846016
200211,000000,926.8000000,932.4000000,923.0000000,923.4000000,955644
200212,000000,926.0000000,943.0000000,920.2000000,938.0000000,1336279
200213,000000,935.0000000,936.0000000,926.0000000,926.0000000,621619
200214,000000,929.8000000,933.2000000,921.4000000,928.0000000,507660
200217,000000,930.0000000,933.6000000,922.2000000,924.6000000,514272
200218,000000,922.8000000,924.4000000,913.2000000,914.6000000,834090
200219,000000,917.2000000,920.4000000,908.4000000,914.0000000,1104028
200220,000000,914.6000000,927.6000000,911.4000000,915.8000000,1259609
200221,000000,912.8000000,915.0000000,908.0000000,908.0000000,1180596
200225,000000,899.0000000,909.6000000,890.0000000,890.0000000,1656071
200226,000000,888.8000000,896.8000000,881.0000000,886.4000000,1848279
200227,000000,883.2000000,892.0000000,865.4000000,865.4000000,2320032
200228,000000,848.2000000,855.6000000,807.4000000,814.6000000,3881413
200302,000000,832.2000000,846.8000000,799.4000000,810.6000000,2444357
200303,000000,830.0000000,834.8000000,817.4000000,820.4000000,1955684
200304,000000,818.6000000,834.6000000,812.0000000,827.0000000,1263704
200305,000000,836.2000000,839.8000000,823.4000000,830.0000000,1702691
200306,000000,819.0000000,826.2000000,792.6000000,808.6000000,2150230
200310,000000,772.2000000,856.6000000,770.0000000,829.0000000,4343401
200311,000000,844.4000000,848.8000000,814.4000000,824.0000000,2470344
200312,000000,804.0000000,805.0000000,771.6000000,776.8000000,3265617
200313,000000,775.2000000,825.0000000,773.0000000,809.6000000,3031011
200316,000000,820.4000000,827.2000000,770.0000000,818.8000000,2179882
200317,000000,814.2000000,830.6000000,777.0000000,800.4000000,1918609
200318,000000,780.0000000,805.0000000,775.8000000,780.0000000,1904615
200319,000000,780.8000000,820.0000000,762.0000000,812.0000000,2197928
200320,000000,824.8000000,845.8000000,800.4000000,812.6000000,2195085
200323,000000,790.0000000,818.0000000,780.0000000,793.6000000,1424507
200324,000000,814.0000000,849.8000000,809.4000000,843.8000000,1875146
200325,000000,851.2000000,892.0000000,828.0000000,853.4000000,2297785
200326,000000,849.2000000,853.0000000,819.2000000,848.8000000,1330661
200327,000000,841.2000000,847.6000000,819.0000000,825.4000000,1021225
200330,000000,813.8000000,843.6000000,807.2000000,843.6000000,1003313
200331,000000,848.4000000,873.0000000,837.4000000,866.6000000,2173260
200401,000000,851.0000000,863.2000000,845.0000000,848.4000000,1202476
200402,000000,855.2000000,872.0000000,838.0000000,859.6000000,1166362
200403,000000,859.0000000,885.0000000,856.6000000,882.0000000,2013651
200406,000000,887.2000000,898.0000000,876.6000000,892.8000000,1050311
200407,000000,899.8000000,904.0000000,882.4000000,888.0000000,1638442
200408,000000,884.0000000,899.2000000,878.0000000,899.2000000,814115
200409,000000,900.2000000,905.0000000,885.2000000,905.0000000,1320865
200410,000000,903.0000000,903.0000000,892.8000000,900.0000000,307140
200413,000000,899.0000000,900.6000000,881.4000000,882.2000000,511902
200414,000000,890.0000000,901.4000000,887.8000000,899.0000000,953085
200415,000000,895.0000000,896.0000000,853.4000000,861.2000000,1297541
200416,000000,863.0000000,882.2000000,854.0000000,857.4000000,1391727
200417,000000,869.4000000,877.2000000,862.2000000,864.6000000,601314
200420,000000,862.2000000,880.8000000,858.6000000,874.2000000,995440
200421,000000,871.8000000,871.8000000,850.4000000,866.0000000,1412422
200422,000000,865.4000000,879.0000000,861.2000000,868.6000000,1454204
200423,000000,873.6000000,874.6000000,860.0000000,870.0000000,995733
200424,000000,869.4000000,870.8000000,861.0000000,862.4000000,998086
200427,000000,866.8000000,874.8000000,863.2000000,869.0000000,890310
200428,000000,869.0000000,886.0000000,864.2000000,870.0000000,1260038
200429,000000,875.8000000,890.8000000,870.6000000,875.6000000,1196939
200430,000000,880.0000000,892.4000000,870.4000000,889.6000000,1425158
200504,000000,881.0000000,881.2000000,866.0000000,871.0000000,878775
200505,000000,876.2000000,880.8000000,870.4000000,873.2000000,540599
200506,000000,877.2000000,883.4000000,870.0000000,870.6000000,817592
200507,000000,872.8000000,881.6000000,869.2000000,869.2000000,1105964
200508,000000,872.8000000,873.8000000,866.6000000,871.4000000,516150
200512,000000,863.0000000,867.6000000,853.4000000,853.4000000,1364184
200513,000000,852.0000000,853.6000000,838.0000000,838.0000000,989968
200514,000000,837.8000000,841.0000000,818.4000000,823.4000000,1567504
200515,000000,828.6000000,842.6000000,824.2000000,824.2000000,1153729
200518,000000,831.6000000,861.0000000,831.4000000,861.0000000,1124552
200519,000000,861.4000000,868.4000000,855.0000000,862.4000000,1003017
200520,000000,861.2000000,885.2000000,855.0000000,884.4000000,1121892
200521,000000,884.4000000,895.8000000,862.0000000,863.6000000,1392091
200522,000000,857.2000000,875.0000000,854.2000000,872.0000000,1177229
200525,000000,874.0000000,909.0000000,873.0000000,908.0000000,1508252
200526,000000,909.4000000,923.0000000,905.0000000,905.0000000,1991582
200527,000000,911.8000000,923.0000000,906.4000000,919.4000000,1229239
200528,000000,922.2000000,940.0000000,915.4000000,940.0000000,1340639
200529,000000,937.0000000,940.0000000,922.4000000,934.6000000,1983073
200601,000000,940.2000000,946.2000000,928.0000000,939.0000000,963071
200602,000000,938.4000000,948.0000000,937.4000000,945.0000000,988334
200603,000000,950.6000000,954.6000000,941.6000000,954.6000000,1458229
200604,000000,950.8000000,953.2000000,934.4000000,940.6000000,1156830
200605,000000,945.4000000,951.8000000,942.4000000,949.0000000,696456
200608,000000,952.2000000,956.6000000,944.0000000,944.0000000,1138314
200609,000000,946.6000000,954.0000000,938.0000000,948.0000000,1287544
200610,000000,949.0000000,952.8000000,942.6000000,950.4000000,1205084
200611,000000,944.8000000,950.0000000,936.2000000,939.0000000,2364992
200615,000000,885.2000000,892.4000000,876.4000000,879.2000000,2116874
200616,000000,884.8000000,897.0000000,880.0000000,880.0000000,1490933
200617,000000,884.2000000,889.2000000,876.6000000,883.6000000,1300048
200618,000000,884.4000000,884.8000000,869.2000000,874.4000000,1384889
200619,000000,879.4000000,882.6000000,871.6000000,872.2000000,1807317
200622,000000,873.2000000,874.0000000,862.2000000,870.6000000,1162560
200623,000000,870.4000000,878.0000000,868.0000000,872.0000000,753352
200625,000000,866.0000000,867.4000000,856.4000000,861.4000000,1224858
200626,000000,863.4000000,864.8000000,847.2000000,851.6000000,1321799
200629,000000,850.0000000,855.0000000,841.0000000,854.8000000,871282
200630,000000,855.4000000,870.8000000,852.6000000,864.0000000,1291231
200702,000000,868.0000000,874.8000000,863.6000000,869.0000000,653764
200703,000000,868.6000000,887.8000000,866.0000000,884.2000000,896375
200706,000000,892.0000000,906.0000000,890.2000000,901.0000000,1599608
200707,000000,902.4000000,903.6000000,881.4000000,892.2000000,869804
200708,000000,892.2000000,897.4000000,886.0000000,894.0000000,499286
200709,000000,894.0000000,896.8000000,867.8000000,876.2000000,1012496
200710,000000,868.2000000,882.4000000,866.8000000,880.2000000,615531
200713,000000,883.0000000,889.0000000,870.6000000,872.8000000,571640
200714,000000,875.0000000,879.2000000,862.4000000,876.0000000,896282
200715,000000,880.0000000,891.0000000,875.4000000,883.8000000,839250
200716,000000,877.6000000,884.6000000,874.0000000,879.8000000,644067
200717,000000,880.2000000,884.0000000,875.4000000,878.2000000,427054
200720,000000,878.6000000,887.6000000,874.0000000,887.6000000,750426
200721,000000,890.4000000,902.4000000,890.4000000,894.2000000,1074955
200722,000000,896.0000000,899.6000000,886.6000000,896.6000000,886166
200723,000000,899.8000000,901.6000000,889.0000000,889.6000000,896868
200724,000000,889.6000000,897.0000000,885.2000000,894.2000000,611121
200727,000000,894.8000000,912.6000000,893.8000000,909.6000000,897730
200728,000000,912.2000000,925.2000000,911.6000000,919.2000000,1171952
200729,000000,921.8000000,928.6000000,915.6000000,925.4000000,869730
200730,000000,925.4000000,925.6000000,896.0000000,908.4000000,1280365
200731,000000,911.4000000,920.0000000,904.0000000,912.6000000,990108
200803,000000,913.0000000,920.0000000,910.0000000,916.8000000,672093
200804,000000,920.6000000,935.0000000,918.0000000,934.6000000,1192097
200805,000000,935.0000000,942.0000000,929.4000000,940.6000000,1144306
200806,000000,941.0000000,946.0000000,933.6000000,939.8000000,706132
200807,000000,937.6000000,940.0000000,912.4000000,924.8000000,1189821
200810,000000,926.0000000,934.0000000,925.2000000,933.2000000,629321
200811,000000,934.2000000,952.0000000,933.2000000,944.4000000,1728589
200812,000000,942.2000000,978.0000000,941.8000000,973.6000000,1697250
200813,000000,974.0000000,976.6000000,962.8000000,970.0000000,1112247
200814,000000,972.0000000,974.0000000,956.2000000,965.6000000,795978
200817,000000,969.8000000,974.0000000,957.2000000,968.4000000,794395
200818,000000,965.8000000,971.0000000,959.4000000,960.8000000,936158
200819,000000,962.8000000,974.0000000,956.6000000,966.0000000,745336
200820,000000,963.6000000,968.4000000,951.8000000,957.8000000,827481
200821,000000,959.0000000,963.8000000,946.6000000,960.2000000,763812
200824,000000,964.6000000,969.0000000,961.2000000,962.6000000,522567
200825,000000,966.6000000,968.8000000,955.8000000,962.8000000,721601
200826,000000,963.8000000,965.0000000,956.2000000,962.4000000,637743
200827,000000,962.8000000,964.8000000,948.6000000,952.2000000,789027
200828,000000,953.0000000,953.4000000,941.0000000,943.6000000,550327
200831,000000,945.2000000,952.2000000,929.2000000,931.0000000,1371331
200901,000000,932.2000000,947.6000000,919.6000000,946.4000000,1332080
200902,000000,948.0000000,959.4000000,941.0000000,951.0000000,1350493
200903,000000,950.0000000,957.0000000,942.0000000,943.6000000,1128040
200904,000000,942.6000000,949.2000000,932.4000000,947.4000000,1252639
200907,000000,931.0000000,933.0000000,925.6000000,929.6000000,918542
200908,000000,930.0000000,936.8000000,926.0000000,928.6000000,1360621
200909,000000,928.0000000,947.4000000,927.0000000,943.6000000,1605023
200910,000000,947.2000000,975.2000000,939.8000000,966.0000000,2036823
200911,000000,970.4000000,973.0000000,964.2000000,968.0000000,1030285
200914,000000,974.0000000,990.4000000,971.0000000,987.4000000,1159500
200915,000000,989.0000000,998.0000000,986.0000000,997.0000000,1319990
200916,000000,996.6000000,998.2000000,977.0000000,987.2000000,1288269
200917,000000,983.4000000,994.6000000,980.8000000,989.8000000,783658
200918,000000,991.6000000,991.8000000,973.4000000,976.0000000,1056283
200921,000000,976.8000000,978.2000000,960.0000000,972.2000000,949898
200922,000000,968.0000000,981.6000000,966.6000000,976.2000000,878781
200923,000000,978.8000000,983.6000000,967.2000000,968.0000000,1261875
200924,000000,974.8000000,979.0000000,962.2000000,975.0000000,797243
200925,000000,973.8000000,987.0000000,967.8000000,984.6000000,701011
200928,000000,986.6000000,995.2000000,975.6000000,983.0000000,883041
200929,000000,984.0000000,1013.8000000,981.2000000,1008.0000000,1686499
200930,000000,1009.0000000,1010.6000000,988.4000000,992.0000000,851431
201001,000000,997.8000000,1003.4000000,986.8000000,996.6000000,581394
201002,000000,993.6000000,1005.6000000,988.0000000,1001.6000000,515976
201005,000000,1003.8000000,1012.0000000,997.6000000,1005.4000000,866938
201006,000000,1007.0000000,1008.2000000,992.4000000,998.8000000,743660
201007,000000,997.8000000,1003.6000000,990.2000000,994.8000000,784561
201008,000000,993.2000000,1007.8000000,993.2000000,1000.2000000,705195
201009,000000,1001.2000000,1007.0000000,995.4000000,999.6000000,458045
201012,000000,1001.0000000,1012.0000000,998.2000000,1010.0000000,572656
201013,000000,1008.4000000,1016.2000000,989.2000000,993.0000000,731334
201014,000000,992.0000000,1007.6000000,985.6000000,1005.0000000,671787
201015,000000,1004.4000000,1006.4000000,997.0000000,1001.8000000,551141
201016,000000,1001.8000000,1006.8000000,992.6000000,995.2000000,609104
201019,000000,999.6000000,1000.8000000,982.0000000,988.0000000,459247
201020,000000,988.6000000,1008.8000000,988.0000000,1005.8000000,655765
201021,000000,1007.8000000,1017.6000000,1002.0000000,1009.2000000,659366
201022,000000,1015.4000000,1062.6000000,1014.8000000,1061.8000000,2209290
201023,000000,1061.4000000,1070.0000000,1052.2000000,1067.0000000,1061337
201026,000000,1063.8000000,1071.6000000,1042.0000000,1063.0000000,765897
201027,000000,1065.0000000,1081.0000000,1059.6000000,1062.8000000,1352289
201028,000000,1059.0000000,1061.0000000,1035.0000000,1040.2000000,1446906
201029,000000,1045.0000000,1060.8000000,1039.0000000,1056.0000000,896040
201030,000000,1050.6000000,1092.2000000,1038.0000000,1085.0000000,1484791
201102,000000,1085.2000000,1099.8000000,1067.0000000,1093.0000000,925372
