<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
200103,000000,259.1000000,261.9000000,257.7700000,259.0000000,34326290
200106,000000,258.9100000,258.9600000,254.8000000,256.5500000,28106710
200108,000000,256.2500000,257.3200000,254.7700000,255.7900000,25566970
200109,000000,255.6600000,256.6800000,251.8200000,254.0700000,33194830
200110,000000,253.9900000,254.6000000,251.2000000,251.9000000,28545590
200113,000000,252.5000000,252.5000000,248.4000000,251.5000000,41334580
200114,000000,252.0000000,253.2000000,249.0000000,250.0000000,32866650
200115,000000,249.5000000,252.5000000,247.7500000,251.3000000,43936180
200116,000000,251.8700000,254.5400000,251.5000000,254.2600000,38394410
200117,000000,254.7600000,256.6000000,253.8000000,255.3900000,42028610
200120,000000,255.6500000,256.1000000,253.0100000,253.5000000,29957470
200121,000000,253.3700000,253.4000000,250.8800000,252.9900000,26873610
200122,000000,252.8100000,253.3900000,248.1000000,248.1000000,38825260
200123,000000,246.9000000,247.6600000,239.0100000,239.3000000,73654660
200124,000000,240.1200000,243.2500000,235.2800000,237.9500000,68994040
200127,000000,235.0100000,235.4000000,229.6500000,230.9600000,104948220
200128,000000,232.6100000,237.5900000,229.0000000,235.0000000,85405890
200129,000000,236.9000000,237.3600000,231.3000000,232.0000000,52589600
200130,000000,230.7000000,232.4900000,229.4500000,231.5300000,41451560
200131,000000,232.5300000,233.7900000,226.5700000,226.7000000,70264920
200203,000000,223.8100000,229.9800000,223.8000000,227.6400000,53572940
200204,000000,228.4700000,231.0800000,226.6500000,230.5000000,45301220
200205,000000,230.8900000,235.7300000,228.8000000,232.5600000,61685530
200206,000000,234.0400000,236.0000000,230.1500000,231.3800000,42561470
200207,000000,232.3800000,233.3900000,227.1400000,229.1100000,49649900
200210,000000,228.5800000,229.7500000,224.4100000,225.2000000,50466570
200211,000000,226.5600000,236.1800000,226.0100000,233.9000000,95547840
200212,000000,235.2000000,239.8000000,234.5600000,238.0300000,83138320
200213,000000,236.9000000,237.9800000,233.5500000,233.5500000,41949600
200214,000000,233.7900000,235.4000000,230.9100000,232.5000000,34339380
200217,000000,233.4000000,234.5600000,231.9100000,233.7500000,20525270
200218,000000,232.9700000,233.2800000,229.8000000,230.5000000,30822280
200219,000000,231.8400000,233.5000000,230.7100000,231.9000000,24383830
200220,000000,232.5500000,235.7500000,232.0000000,234.6000000,33547100
200221,000000,233.2000000,233.7700000,231.6100000,232.0000000,29613730
200225,000000,227.9900000,230.0600000,224.6800000,224.6800000,51889790
200226,000000,223.3200000,225.4700000,220.8100000,224.7600000,63577060
200227,000000,220.9900000,223.4000000,216.8000000,217.5000000,82610580
200228,000000,210.0000000,211.9700000,200.5700000,202.6500000,168877890
200302,000000,207.9900000,211.9900000,195.5100000,198.7800000,151413660
200303,000000,204.7800000,205.2700000,198.0000000,201.4800000,104199970
200304,000000,199.9000000,204.4200000,198.2800000,200.0000000,78621910
200305,000000,203.0000000,203.4300000,197.5000000,198.0000000,65760320
200306,000000,193.4900000,194.2300000,185.1300000,188.2700000,131420850
200310,000000,169.4500000,185.8400000,161.0100000,171.0000000,203245560
200311,000000,173.9800000,175.8700000,167.3900000,172.0300000,108371760
200312,000000,163.4000000,167.8000000,161.2000000,163.7300000,150756610
200313,000000,164.0800000,175.6900000,164.0200000,166.1000000,142833320
200316,000000,163.5600000,169.9900000,158.1700000,168.0700000,115641980
200317,000000,168.9600000,175.5000000,164.5600000,167.0000000,108041540
200318,000000,164.9000000,170.4500000,162.0000000,166.3400000,105950660
200319,000000,168.7700000,175.2000000,164.0500000,174.5600000,121970230
200320,000000,179.9800000,184.6900000,176.1000000,176.2600000,139598470
200323,000000,171.0300000,172.2800000,168.0400000,168.3500000,108969290
200324,000000,174.3600000,179.9900000,172.6100000,177.9500000,89246570
200325,000000,182.8000000,186.9000000,175.2600000,180.2000000,114425820
200326,000000,179.4500000,184.9000000,177.2800000,181.5000000,53884430
200327,000000,181.2000000,181.3700000,172.0000000,174.5000000,55565750
200330,000000,171.9900000,177.6300000,170.5000000,176.4400000,47795640
200331,000000,178.5000000,184.6400000,178.0100000,181.4100000,69708850
200401,000000,178.0500000,181.3800000,177.5000000,180.0600000,40356500
200402,000000,183.8000000,190.0000000,180.2500000,187.0400000,87685660
200403,000000,187.0300000,193.8500000,185.7200000,189.7700000,92292440
200406,000000,192.2500000,193.4400000,189.4400000,191.1000000,62810660
200407,000000,192.7200000,195.1300000,189.8000000,191.2200000,66726560
200408,000000,189.7500000,194.1100000,188.1000000,194.1100000,49196260
200409,000000,195.6900000,196.2600000,189.8800000,193.8600000,84196490
200410,000000,191.8600000,192.4400000,190.5100000,192.0000000,16941950
200413,000000,192.2500000,192.3600000,186.0700000,188.0700000,28468270
200414,000000,189.5700000,191.7600000,188.3000000,190.1100000,50604120
200415,000000,189.1600000,189.4800000,182.5600000,184.2500000,53684360
200416,000000,185.1500000,189.1600000,182.7500000,184.3000000,56338120
200417,000000,187.0700000,187.8700000,183.5400000,184.6800000,38709150
200420,000000,184.1100000,186.2500000,183.0000000,185.5100000,34244800
200421,000000,183.1700000,184.5000000,179.0500000,181.9200000,66847460
200422,000000,181.0900000,188.5500000,180.3300000,188.3600000,48244280
200423,000000,189.9800000,191.5900000,187.5000000,188.7300000,39797620
200424,000000,187.9400000,187.9500000,185.1000000,185.7100000,36685880
200427,000000,186.5300000,188.4700000,185.6900000,186.2900000,23536090
200428,000000,185.9300000,190.6500000,185.7600000,188.5000000,44154560
200429,000000,189.7800000,195.2300000,188.5300000,193.8700000,56201200
200430,000000,195.4400000,196.2000000,189.6200000,190.0000000,72061970
200504,000000,188.0000000,188.1700000,184.5200000,185.7000000,42833330
200505,000000,188.3900000,190.3900000,187.3000000,190.0000000,39562120
200506,000000,190.5300000,191.0500000,187.0500000,187.0500000,46377880
200507,000000,187.5200000,190.3000000,185.5000000,185.8500000,67256130
200508,000000,186.3400000,186.6400000,183.1000000,185.3400000,60934480
200512,000000,184.8800000,187.2000000,183.2000000,186.1700000,49892900
200513,000000,185.5500000,185.5500000,183.8000000,184.2000000,33177080
200514,000000,183.2700000,184.8500000,181.6800000,183.9100000,49343510
200515,000000,185.6200000,186.9800000,183.8500000,183.8500000,47863870
200518,000000,185.4000000,192.5000000,185.1400000,192.5000000,60009590
200519,000000,193.0000000,194.3900000,191.1000000,194.2000000,60258130
200520,000000,193.5700000,197.2700000,192.7900000,196.7400000,73790890
200521,000000,196.1000000,199.2600000,191.4000000,194.7400000,90059720
200522,000000,194.0000000,195.7600000,192.2100000,194.3500000,42278710
200525,000000,195.2100000,197.5500000,195.1100000,197.5500000,20030490
200526,000000,198.8000000,202.3000000,196.3000000,196.8600000,65940550
200527,000000,196.1000000,197.7500000,193.1500000,194.7300000,55228910
200528,000000,194.4000000,196.9800000,194.1700000,196.8600000,39920270
200529,000000,196.2500000,199.9500000,193.2000000,199.9500000,172617900
200601,000000,200.2500000,202.4700000,197.1500000,198.7200000,54163710
200602,000000,199.4800000,202.1900000,198.7200000,201.9700000,45255750
200603,000000,203.1000000,208.1500000,202.0100000,208.0000000,65058830
200604,000000,207.9900000,207.9900000,200.6000000,201.4600000,72176320
200605,000000,202.5600000,204.8400000,201.5100000,203.0500000,44798190
200608,000000,204.9500000,206.5000000,202.9700000,204.9100000,40076610
200609,000000,205.4100000,206.1000000,201.5700000,204.8400000,35361030
200610,000000,204.8800000,205.2700000,200.5300000,201.7500000,41510100
200611,000000,200.1900000,200.1900000,195.1500000,196.7400000,48834830
200615,000000,193.8500000,196.1500000,191.0000000,194.2000000,54158910
200616,000000,196.0600000,199.5900000,195.2000000,196.5900000,43322650
200617,000000,197.7200000,199.0800000,195.2100000,195.8600000,34389160
200618,000000,195.4400000,195.5700000,191.8500000,193.0000000,45807200
200619,000000,194.1700000,196.0700000,193.8200000,195.8100000,45158120
200622,000000,195.3500000,195.3500000,192.6200000,194.3000000,36763320
200623,000000,194.7800000,196.3200000,194.0000000,194.8300000,33800940
200625,000000,191.8000000,192.4800000,190.5500000,192.2500000,48747730
200626,000000,192.8000000,195.6900000,190.5100000,193.0000000,60289440
200629,000000,192.6700000,198.1000000,192.5800000,197.9400000,45797120
200630,000000,197.9000000,198.4800000,193.2400000,194.3100000,52228420
200702,000000,195.3100000,195.8400000,194.4000000,195.2800000,34114100
200703,000000,195.6500000,197.4800000,194.7700000,197.2000000,26423160
200706,000000,199.2100000,201.7500000,198.5300000,199.9900000,46417970
200707,000000,199.7000000,199.9400000,197.7500000,197.9600000,35182460
200708,000000,198.0000000,201.1900000,197.5500000,201.1700000,30730070
200709,000000,201.4800000,202.0000000,198.4000000,199.4400000,40355340
200710,000000,198.2500000,201.7000000,197.2200000,200.9400000,39028520
200713,000000,201.6000000,202.3300000,195.5000000,195.7000000,62999870
200714,000000,195.0900000,196.6500000,192.4800000,193.6000000,83060710
200715,000000,180.6000000,184.2700000,179.8000000,182.2600000,73463320
200716,000000,181.2000000,183.8000000,181.0700000,183.3200000,29409000
200717,000000,183.8000000,184.9300000,182.8700000,184.6500000,25471860
200720,000000,184.6700000,188.4100000,183.8800000,188.3600000,30010590
200721,000000,188.9900000,189.7700000,186.2500000,186.7800000,44388320
200722,000000,187.0300000,188.5900000,186.0700000,187.1500000,22767680
200723,000000,187.5000000,188.3000000,184.4000000,184.6900000,29769530
200724,000000,184.8300000,186.4500000,184.1200000,185.4500000,30313190
200727,000000,185.6000000,185.9200000,184.2000000,185.0300000,22734510
200728,000000,185.1300000,185.4600000,183.6000000,184.3000000,26633740
200729,000000,184.5000000,185.3500000,183.4200000,184.6900000,27882380
200730,000000,184.4400000,184.7300000,180.9100000,182.5200000,34011750
200731,000000,182.6000000,184.8400000,181.6100000,182.5900000,44920000
200803,000000,182.5100000,184.0300000,181.7200000,183.6000000,28651930
200804,000000,184.0600000,184.6800000,182.1700000,183.3100000,32428960
200805,000000,183.5200000,189.9800000,183.3500000,189.1500000,75423620
200806,000000,189.5600000,189.9200000,187.1300000,189.0700000,42849450
200807,000000,188.4400000,188.5700000,185.8100000,187.2300000,28808600
200810,000000,187.4900000,188.8500000,186.8300000,187.7000000,24226570
200811,000000,187.8800000,192.4000000,187.8800000,189.7000000,51902080
200812,000000,190.4700000,193.2900000,189.3200000,192.8000000,35583620
200813,000000,192.5000000,194.4400000,191.2500000,193.7600000,37819700
200814,000000,194.2500000,194.2500000,190.7100000,192.8300000,29780320
200817,000000,193.8400000,194.6800000,189.2000000,190.4700000,55677760
200818,000000,190.0700000,191.9500000,189.2500000,190.3000000,27776390
200819,000000,190.5000000,191.9900000,189.0000000,189.2600000,31452990
200820,000000,188.8000000,188.9400000,185.5800000,186.9500000,37649810
200821,000000,187.2500000,187.7900000,183.5000000,184.5100000,33830700
200824,000000,185.3700000,187.4400000,184.8400000,187.1000000,24264740
200825,000000,187.4500000,187.9900000,184.7300000,186.2500000,19552010
200826,000000,186.2200000,188.0000000,185.0000000,187.4800000,25456340
200827,000000,187.5000000,188.0100000,182.6200000,184.5800000,38183770
200828,000000,184.9600000,185.2200000,182.4800000,182.9000000,34291080
200831,000000,183.1200000,184.2800000,180.5100000,181.0100000,47459530
200901,000000,181.4000000,184.8700000,181.0100000,184.2200000,48007480
200902,000000,184.8000000,186.2900000,181.1000000,181.9500000,50239120
200903,000000,182.4000000,182.5900000,178.6000000,179.1300000,62908720
200904,000000,178.9800000,180.5600000,178.0000000,179.5500000,43008870
200907,000000,178.8200000,179.7500000,175.9400000,177.0400000,38983590
200908,000000,177.0000000,177.4300000,172.4000000,172.9500000,63837660
200909,000000,172.7800000,175.3500000,172.3300000,173.6900000,41967040
200910,000000,173.8000000,174.6400000,171.1100000,173.8000000,34012170
200911,000000,174.3300000,178.2700000,173.1000000,178.0500000,36889720
200914,000000,178.4500000,180.8000000,177.5200000,178.1900000,37563920
200915,000000,178.1300000,182.9500000,178.0100000,182.2200000,42445100
200916,000000,182.6900000,184.1600000,181.3500000,183.2600000,37370250
200917,000000,181.7800000,184.8400000,180.3400000,183.9000000,49663210
200918,000000,184.4000000,184.7000000,181.3400000,181.5200000,45215700
200921,000000,181.3600000,181.3600000,175.3600000,177.1700000,41282960
200922,000000,176.5800000,180.9000000,176.4200000,179.0000000,36380350
200923,000000,179.8100000,180.3700000,176.8100000,177.0000000,31848780
200924,000000,176.0000000,178.4900000,171.9000000,174.2300000,49687540
200925,000000,175.1200000,175.1700000,169.6000000,173.7700000,96284070
200928,000000,174.2400000,175.3800000,171.2900000,172.7400000,50397970
200929,000000,172.7600000,173.4700000,170.0000000,171.4400000,48779600
200930,000000,171.0200000,171.9800000,169.8000000,169.9700000,48605100
201001,000000,171.1800000,171.4000000,167.9700000,168.4000000,60296370
201002,000000,167.5000000,169.9500000,167.2200000,169.4700000,40191130
201005,000000,170.1200000,170.8800000,168.5800000,170.6400000,37393020
201006,000000,170.7000000,173.4100000,170.5000000,171.3500000,64082980
201007,000000,171.7500000,172.2600000,167.0400000,168.2300000,65800100
201008,000000,168.1800000,168.8600000,166.1500000,167.4300000,36621350
201009,000000,167.8000000,168.1900000,165.7700000,166.9700000,41514910
201012,000000,167.6600000,169.8000000,166.8700000,169.0500000,38899590
201013,000000,169.1300000,169.4700000,165.8200000,166.3700000,34687990
201014,000000,166.6100000,167.6300000,165.7100000,167.2400000,26679740
201015,000000,166.8500000,168.8500000,166.0000000,167.1600000,39889410
201016,000000,167.2200000,167.2500000,163.5600000,163.9800000,50402810
201019,000000,164.7600000,165.6000000,163.0000000,163.6000000,33916860
201020,000000,163.7400000,167.1200000,162.8000000,166.5300000,50468030
201021,000000,166.8000000,167.3000000,163.8700000,164.3700000,36678920
201022,000000,163.8500000,166.5300000,163.6600000,165.2700000,39939480
201023,000000,165.1500000,165.8800000,164.3900000,164.9600000,32909950
201026,000000,164.4400000,164.9600000,161.1000000,162.1700000,53436340
201027,000000,162.1800000,162.6200000,158.2100000,159.2100000,58268970
201028,000000,158.9800000,158.9900000,153.7000000,154.3000000,86858100
201029,000000,155.0800000,157.3000000,154.2000000,156.7400000,52752800
201030,000000,155.0900000,156.2000000,154.0800000,154.2800000,42661020
201102,000000,153.9600000,157.9800000,151.9000000,157.7400000,69600850
201103,000000,158.2100000,161.9200000,157.4400000,161.0900000,71067000
201105,000000,163.8100000,165.2500000,161.9900000,163.7000000,73016160
201106,000000,163.0000000,165.8400000,161.5200000,164.9200000,51633910
201109,000000,166.7200000,171.5000000,164.9000000,170.1300000,103358560
201110,000000,169.0300000,173.6400000,167.6300000,172.9200000,76531040
201111,000000,173.5000000,175.1500000,170.2600000,170.5300000,72020230
201112,000000,170.2000000,175.3000000,169.7500000,172.9100000,71917150
201113,000000,172.8800000,181.2700000,172.4200000,180.3000000,104602920
201116,000000,181.0200000,185.6200000,180.3000000,185.3200000,89217810
201117,000000,185.1000000,185.3100000,178.8300000,182.9000000,99307240
201118,000000,182.2600000,187.6900000,180.8000000,185.0000000,69101570
201119,000000,185.2000000,185.8800000,181.9200000,184.1600000,53164780
201120,000000,184.1000000,184.3600000,182.1000000,183.2100000,31836360
201123,000000,183.6400000,185.6300000,182.7700000,184.1500000,41043100
201124,000000,185.0300000,187.3000000,183.9700000,186.7600000,60674430
201125,000000,187.0100000,188.7600000,185.8500000,188.0300000,51107720
201126,000000,188.2500000,189.1000000,184.6000000,185.5200000,45706250
201127,000000,185.1300000,186.7500000,182.5600000,185.9000000,49983540
201130,000000,185.1000000,185.1400000,180.0400000,181.8900000,73156960
201201,000000,182.6000000,188.0900000,181.7800000,185.3400000,67193810
201202,000000,185.0000000,187.2400000,183.1200000,187.2200000,40191320
201203,000000,186.9800000,187.5800000,184.3700000,185.1200000,35885290
201204,000000,186.2000000,189.4200000,185.8500000,188.7900000,50684840
201207,000000,188.2200000,192.8500000,187.8000000,190.7600000,53512780
201208,000000,190.3400000,191.4500000,187.8000000,190.0000000,48382270
201209,000000,190.3000000,193.0900000,189.0500000,189.3500000,52678040
201210,000000,189.5500000,193.5100000,188.6700000,192.9500000,54318200
201211,000000,193.0500000,201.6300000,192.3100000,201.5000000,103060380
201214,000000,203.5000000,207.8500000,198.7800000,199.9100000,122788480
201215,000000,199.0100000,202.2900000,197.0500000,201.0000000,65473740
